BOM_V2
BOM,,,,,,,
Id,Designator,Footprint,Quantity,Designation,Supplier and ref,LCSC,
1,J3,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,1,PROGRAM,DNP,DNP,
2,J2,JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical,1,DEBUG,DNP,DNP,
3,SW2,SW_SPST_B3U-1000P,1,RESET,B3U-1100P-B,C4364316,
4,USER_SW,SW_TH_Tactile_Omron_B3F-100x,1,SW1,DNP,DNP,
5,SW3,SW_SPST_B3U-1000P,1,BOOT,B3U-1100P-B,C4364316,
6,"C3,C5,C4",CAP 0603,3,1U,CC0603KRX7R9BB105,C559769,
7,"C2,C1,C8",CAP 0402,3,100N,CC0402KRX7R9BB104,C131394,
8,U1,SOT-23-5,1,LDO,AP2112K-3.3TRG1,C23380830,
9,J4,JST_ZH_B4B-ZR_1x04_P1.50mm_Vertical,1,I2C,DNP,DNP,
10,D1,Nexperia_CFP3_SOD-123W,1,1N5817,1N5817W,C727113,
11,"R7,R9,R8,R6",R_0402_1005Metric,4,1K,RC0402JR-071KL,C105637,
12,F1,Fuse_1206_3216Metric,1,1A,JFC1206-1100FS,C136343,
13,"R2,R3",R_0402_1005Metric,2,5K1,0402WGF5101TCE,C25905,
14,"C7,C6",1UF 0805,2,1U,CC0805KKX7R8BB105,C91186,
15,U2,SON50P250X250X80-9N-D,1,LDO,HDC3020DEFR,C7472806,
16,"R10,R11",R_0402_1005Metric,2,2K2,AC0402FR-072K2L,C144773,
17,FB1,L_0805_2012Metric,1,22 OHM FERRITE BEAD,BLM21PG220SN1D,C88993,
18,"R1,R5,R4",R_0402_1005Metric,3,10K,0402 ±1% 10K,C2889342,
19,"D4,D3,D5",D_SOD-923,3,ESD9B3.3,ESD9B3.3ST5G,C96512,
20,D7,LED_Cree-PLCC4_3.2x2.8mm_CCW,1,RGB_LED,CLV1L-FKB-CJ1N1E1BB7B3B3,,
21,D2,SOT-666,1,USBLC6-2P6,USBLC6-2P6,C15999,
22,J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C,GT-USB-7010ASV,C2988369,
23,D6,LED_0603_1608Metric,1,GREEN,YLED0603G,C19273151,
24,U3,XCVR_ESP32-C6-WROOM-1-N8,1,ESP32-C6-WROOM-1-N8,ESP32-C6-WROOM-1-N8,C5366877,
